,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
878282,400,36,80,12,1,218,68,5926
878284,2120,48,4,17,1,189,58,5661
878297,1500,11,24,10,0,50,58,4922
878302,1035,42,10,20,1,188,39,9810
878304,2010,50,2,13,1,199,56,7491
878309,100,43,3,13,1,188,27,4288
878334,300,38,37,11,0,151,58,6723
878340,1713,18,36,0,0,199,58,9681
878344,1230,73,4,19,0,189,58,8281
878351,1800,42,4,20,1,158,58,6830
878352,1745,26,2,14,1,199,58,9214
878363,2250,65,4,19,1,182,58,7847
878369,800,48,10,0,1,189,70,5673
878384,1515,16,7,16,0,67,58,7291
878385,1020,50,4,14,0,48,58,75
878391,1505,40,10,12,0,151,68,5086
878407,1655,23,2,15,1,60,24,5484
878408,1525,53,72,12,0,218,68,6634
878414,1725,25,2,7,1,165,35,8333
878423,1145,24,2,2,1,199,28,8399
878426,1245,42,80,9,0,223,58,4041
878438,1900,63,4,15,1,189,58,5568
878451,805,65,4,17,1,59,58,2572
878453,200,31,56,15,1,151,58,2105
878466,1455,35,36,0,1,189,68,4444
878475,2303,25,2,4,1,188,66,3838
878478,1420,54,37,3,0,199,58,1459
878486,240,32,4,13,1,3,58,5970
878490,2250,25,36,0,0,223,58,9945
878497,1500,54,10,14,0,199,24,9112
878499,200,60,37,0,0,151,58,8382
878514,630,38,36,4,1,189,27,1357
878521,2015,30,4,1,1,74,58,8090
878523,1520,22,7,6,0,199,58,9506
878526,1530,30,37,2,0,189,68,3954
878530,300,31,37,19,0,189,58,6838
878540,2025,18,56,0,1,188,58,2774
878545,950,27,43,4,0,165,58,1354
878550,1100,23,51,15,0,199,58,5820
878552,120,37,37,0,0,165,58,9394
878554,2340,48,2,16,1,121,68,10055
878556,1730,39,74,15,1,98,58,9364
878558,1300,42,4,9,1,188,68,3395
878559,2230,44,2,6,1,188,14,303
878567,340,25,56,6,1,199,24,9722
878572,200,26,2,1,1,199,66,8681
878577,1440,13,4,3,0,199,58,9434
878583,1900,65,4,5,1,189,58,4781
878587,2100,22,81,6,0,165,68,7017
878595,1800,33,37,17,0,200,58,6557
878596,548,70,3,12,0,66,58,8448
878612,1430,29,36,7,0,180,58,8394
878613,1600,40,2,3,1,199,35,1509
878625,1940,15,2,14,0,165,58,9027
878632,1615,20,10,2,1,199,43,9229
878633,1800,28,37,2,0,151,58,2882
878646,1900,59,4,11,0,151,58,2452
878653,1300,33,23,3,1,189,70,948
878654,750,50,80,6,1,199,45,6476
878665,1530,84,4,18,1,21,58,9137
878667,2100,29,56,15,1,188,66,9501
878671,112,33,80,12,0,218,68,6634
878673,200,26,37,0,1,189,68,6933
878674,1530,55,2,0,0,188,0,9416
878677,2100,75,81,6,1,199,68,6569
878684,840,15,4,0,0,67,58,8160
878685,1540,38,37,15,1,151,58,5896
878693,1900,44,4,16,1,79,58,3518
878695,1730,24,23,3,1,189,70,494
878696,1230,49,37,17,0,189,58,1962
878702,200,35,4,12,0,24,58,9219
878703,2055,26,56,8,0,199,27,926
878707,242,33,80,6,0,151,68,6282
878714,1324,32,2,13,0,199,51,9906
878718,1610,53,2,1,1,188,68,6593
878719,1,29,4,5,0,199,58,9723
878720,1930,73,4,17,0,151,58,2194
878722,900,25,2,2,1,199,66,9054
878723,1800,23,4,6,1,188,58,7234
878727,230,34,2,2,1,199,66,9799
878737,1327,16,38,14,0,199,58,9018
878739,1711,60,75,12,1,218,68,4623
878744,830,64,37,13,0,151,58,4090
878746,2300,57,23,19,1,29,70,3120
878747,1022,26,56,0,1,199,58,7047
878755,1255,22,2,0,1,199,66,9393
878756,930,46,2,13,1,199,39,7461
878757,1230,54,36,0,0,199,58,6992
878761,1605,31,72,12,1,218,68,4623
878762,515,19,38,11,0,199,58,10041
878771,1335,34,37,14,0,189,58,430
878785,1215,31,4,0,0,199,58,7866
878789,900,26,13,6,1,189,58,1317
878794,1745,24,36,8,0,182,58,912
878796,2020,53,43,1,1,151,58,5995
878814,935,66,2,4,0,189,68,7524
878819,2200,37,56,20,0,188,58,10112
878821,2140,28,37,3,0,189,58,1016
878832,1115,36,4,3,1,151,68,7932
878839,1500,34,75,12,1,218,68,6939
878841,2345,29,37,8,1,165,68,7283
878859,115,29,56,4,1,199,58,10042
878860,2340,49,43,18,0,188,58,3126
878866,1132,15,29,7,1,151,70,8874
878868,1000,51,2,19,0,199,14,9986
878869,2350,28,37,7,0,189,58,1983
878883,200,45,37,4,0,189,58,1358
878888,1230,22,2,11,1,151,49,6696
878912,1030,58,4,18,1,151,68,939
878920,400,19,56,13,1,199,24,5326
878924,1630,67,67,16,0,199,67,3860
878925,845,21,4,15,0,158,58,4491
878929,2100,55,2,12,0,189,51,1530
878932,1915,44,4,4,0,164,58,8067
