,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
902381,2345,24,61,9,0,151,43,185
902402,2100,39,32,0,1,223,58,8932
902404,2000,6,17,14,1,189,4,3555
902414,1500,37,63,3,1,151,58,1137
902427,830,12,23,17,1,73,70,6107
902428,830,48,2,0,1,199,29,6363
902429,800,35,37,19,0,189,58,7783
902442,2000,36,56,9,1,165,58,6127
902446,2030,45,4,7,0,50,58,2199
902450,130,37,37,19,0,189,58,3292
902455,1,29,37,0,0,151,58,6047
902456,1120,16,4,15,1,189,58,4806
902470,200,34,23,15,0,151,70,4464
902473,1830,41,37,3,1,199,58,9461
902486,1650,72,4,12,1,165,58,5740
902501,2020,31,56,3,1,199,27,967
902507,1050,32,10,16,1,189,58,4105
902508,400,27,36,2,0,189,58,3268
902532,2205,23,4,6,1,188,58,6552
902533,900,16,56,18,0,199,68,3755
902536,1200,41,2,0,1,21,51,9655
902539,700,34,37,9,0,88,58,7143
902544,2300,26,4,15,0,151,58,5221
902550,1900,44,37,6,0,165,58,6954
902564,1355,44,56,7,0,188,58,9922
902578,330,39,0,14,1,199,19,4058
902583,1300,17,4,2,1,162,68,3486
902584,500,33,36,19,0,159,58,7632
902592,645,30,2,6,1,158,58,2950
902594,320,36,37,8,1,151,58,6142
902596,1100,86,36,17,0,151,58,2166
902599,1725,31,4,7,1,165,58,8333
902614,1430,48,37,4,0,50,58,2496
902617,2000,78,2,14,0,151,8,4208
902618,955,29,23,19,1,189,70,7583
902619,130,30,4,15,1,158,58,4077
902636,1200,79,74,15,1,151,58,5183
902645,2239,64,56,0,1,199,14,9654
902655,2045,34,2,14,1,199,68,1667
902657,1500,46,4,7,1,175,58,1946
902659,1645,44,4,6,0,188,58,2066
902666,1450,37,2,11,1,164,6,6730
902682,315,31,36,17,1,151,32,2181
902704,100,16,37,20,0,151,58,4035
902707,645,41,2,0,0,188,32,9278
902729,815,17,4,0,1,199,58,9885
902730,1330,22,2,2,1,165,24,9739
902747,1540,15,4,15,1,165,58,385
902748,2100,21,41,0,0,199,58,5767
902752,1750,48,37,14,0,189,58,541
902754,2120,35,56,0,1,171,58,6526
902755,200,40,80,15,0,223,45,4455
902757,1350,50,2,11,0,182,68,8731
902761,820,36,36,4,0,189,58,3674
902764,1710,56,80,5,1,48,15,236
902765,2100,20,4,16,0,165,58,7225
902767,1040,35,80,6,1,199,45,9984
902769,1125,15,4,4,1,67,58,4298
902770,1930,57,36,4,1,189,35,4413
902776,1345,28,37,8,1,189,58,7563
902780,50,18,2,2,1,199,24,9839
902805,1047,33,36,17,0,151,35,7665
902806,800,39,75,12,0,218,68,5926
902809,1730,23,14,13,1,199,68,5319
902810,300,51,37,17,0,151,58,7204
902813,1700,70,4,11,1,151,58,4422
902829,1400,37,37,0,0,189,58,8338
902832,1120,24,72,12,1,218,68,5926
902848,2250,22,4,14,1,189,58,6063
902849,1544,24,2,1,1,199,32,9548
902850,1900,45,36,4,0,199,27,9317
902852,1630,52,10,13,1,188,70,10010
902855,2230,23,52,14,0,165,58,424
902857,1510,42,4,15,0,199,58,2764
902869,2230,37,14,20,0,34,68,2451
902874,2030,67,10,0,1,199,37,359
902879,1145,25,56,7,1,42,21,7938
902888,1045,61,23,7,0,199,70,10105
902898,1140,22,10,0,1,199,53,5856
902902,400,49,4,2,0,151,58,8400
902905,1045,27,37,15,0,188,58,10117
902909,1230,66,4,13,0,151,68,5276
902911,1520,53,37,4,0,189,58,3614
902916,2145,29,4,18,1,199,68,3390
902918,1100,6,18,10,1,188,58,5765
902921,1620,48,37,3,0,189,58,1109
902922,2100,30,36,1,0,199,58,7990
902928,2005,52,56,2,1,199,68,8558
902931,1900,32,75,12,1,218,68,4778
902937,1900,58,2,6,1,199,58,9507
902941,2230,47,4,0,0,189,58,8663
902953,1710,30,23,9,1,3,64,9074
902956,330,45,52,0,0,48,58,4952
902958,600,75,67,16,1,199,67,9805
902974,1720,41,81,15,1,151,58,3430
902977,1500,33,37,0,0,189,58,8167
902978,1800,35,43,1,1,74,58,8065
902980,1400,63,4,8,1,158,58,6288
902988,1720,43,4,3,0,189,58,951
902990,1000,32,4,20,0,199,58,9103
902996,2015,38,56,11,1,88,24,7990
903008,1900,37,14,9,0,199,68,197
903010,230,44,2,12,1,216,39,5748
903026,750,50,2,0,0,199,51,9450
903030,1530,18,37,14,0,151,58,1156
903041,340,26,37,19,0,165,58,3467
903043,2020,35,37,6,1,151,58,2678
903046,5,31,2,14,1,189,27,2044
903050,800,49,75,12,1,188,68,8838
903053,1300,25,82,6,0,199,68,6135
903064,1530,40,4,20,0,70,58,6830
903065,1450,37,4,1,1,188,68,4602
903066,1745,34,7,16,0,80,58,6972
903081,115,61,2,7,0,227,32,8919
903083,2340,44,2,12,1,188,68,5283
903100,200,17,18,13,1,151,58,106
903101,1435,43,56,17,1,17,21,7761
903106,930,32,61,4,1,151,66,4739
903107,1749,20,36,3,0,199,24,9936
903114,1715,73,75,12,1,218,68,6634
903119,950,40,23,12,1,218,68,4623
903122,1430,80,75,12,0,218,68,7210
903126,2030,26,37,16,0,151,58,7971
903146,820,36,2,14,1,165,35,735
903156,1400,44,4,0,1,199,58,7866
903157,1125,2,39,8,1,164,68,1047
903158,1815,44,56,15,0,199,70,5640
903163,2245,27,56,14,0,199,54,9219
903177,1130,31,4,0,0,151,58,7535
903182,1000,15,2,14,1,67,58,4631
903190,1400,43,4,18,0,151,58,2455
903191,340,35,4,4,0,151,58,6739
903192,200,59,80,10,1,188,68,135
903193,1300,42,72,12,0,218,68,4623
903194,2030,26,2,11,1,149,35,10117
903199,1,59,80,6,1,182,68,309
903203,100,39,63,17,1,151,58,7679
903209,1125,20,4,15,0,199,58,4803
903210,110,37,2,3,0,199,3,9165
903215,2045,44,4,0,0,189,58,201
903220,2010,31,2,8,1,199,24,1558
903225,1913,20,72,12,0,218,68,4623
903233,1830,33,37,17,0,189,58,2339
903241,1720,55,13,18,0,189,68,759
903242,2230,59,4,0,0,199,58,3689
903251,200,50,37,14,0,189,58,6640
903255,600,29,85,12,0,188,68,8827
903265,300,72,10,1,1,151,28,4644
903266,1405,29,4,8,1,136,58,6234
903271,517,40,36,15,0,189,15,5898
903272,2240,34,4,1,0,70,58,1718
903282,900,45,23,0,0,189,70,513
903283,2105,37,4,17,1,13,58,2282
903289,320,38,4,6,0,189,58,294
903300,1720,77,4,19,0,44,45,2815
903307,845,27,2,0,1,21,24,10045
903325,1,57,56,15,1,188,58,8148
903340,1420,27,81,13,0,151,68,3526
903350,2200,53,56,5,1,199,69,4845
903351,2200,33,4,0,1,188,58,7988
903353,2200,25,37,5,0,189,58,4788
903355,1320,30,37,15,0,189,58,1364
903361,330,58,4,3,0,189,58,520
903364,1300,29,37,1,0,199,58,1235
903368,1330,43,56,16,0,189,58,6239
903377,1224,33,67,12,0,59,68,1931
903382,1620,12,74,16,1,199,43,9373
903399,1643,24,4,8,1,136,58,6234
903405,5,29,4,4,1,87,58,214
903408,2015,35,7,19,0,165,58,3055
903412,1400,45,4,20,1,189,5,3648
903415,230,37,14,6,0,199,68,9975
903418,1400,42,56,11,0,21,58,9331
903420,1700,29,23,15,0,182,70,2790
903423,1710,21,2,15,0,199,0,10041
903424,2200,13,18,1,0,151,58,5947
903425,1316,29,67,12,1,218,68,6935
903430,1100,53,4,17,0,151,58,7707
903437,1800,58,25,13,0,189,58,5964
903442,1240,19,56,17,0,26,70,7124
903450,1200,27,42,19,1,80,58,3080
903456,2230,48,2,6,1,188,14,303
903468,1820,48,72,12,1,218,68,5926
903476,900,25,37,8,0,199,58,6170
903486,1345,14,4,17,0,73,58,7749
903487,30,21,37,19,1,189,58,3273
903493,1600,48,44,12,0,188,68,7727
903498,1100,37,37,4,1,189,58,3964
903507,2150,35,36,1,1,199,14,3521
903514,1835,40,4,9,1,165,58,5005
903515,250,57,2,1,1,188,6,7350
903523,1250,61,2,3,1,199,69,940
903537,2320,49,75,12,0,218,68,5926
903558,1930,28,43,4,0,16,68,3227
903568,2305,21,56,13,1,199,68,740
903576,1400,33,13,8,1,189,58,1832
903581,2120,22,4,16,0,199,58,9940
903583,900,26,4,1,1,3,58,9661
903586,240,22,4,1,1,158,58,5913
903587,1915,43,4,6,1,199,58,7173
903590,1900,53,4,20,1,151,58,5256
903595,1222,27,4,0,0,87,58,6367
903600,1430,27,4,0,0,188,68,8387
903608,810,54,80,5,1,48,23,4970
903627,445,27,37,3,0,189,58,7844
903634,430,42,81,13,1,199,24,1730
903638,1330,25,2,1,1,71,39,6732
903649,1130,24,56,0,1,31,58,6526
903658,1643,63,37,14,0,199,58,9654
903668,1000,40,37,16,0,189,58,4228
903674,1510,33,4,7,0,151,58,2597
903679,2000,32,4,20,1,164,58,7833
903693,10,27,4,14,1,189,58,3660
903695,1317,32,3,15,1,149,58,9278
903697,1310,36,23,11,1,158,70,4889
903700,2300,49,4,19,0,70,58,3264
903706,5,36,2,2,1,160,14,2627
903707,920,33,4,6,0,158,58,7459
903709,2200,46,4,15,0,199,58,9833
903711,600,36,67,12,0,188,68,1067
903716,21,29,37,4,1,151,58,380
903718,2230,37,2,6,1,188,58,303
903724,1820,42,4,0,0,149,58,9945
903734,1145,58,4,17,1,70,58,2225
903737,2320,48,3,1,1,199,58,7352
903746,1830,33,13,12,0,189,68,7034
903749,2130,23,3,15,1,199,68,9539
903774,830,66,43,16,1,165,58,3795
903775,2255,36,37,14,0,189,58,79
903785,2055,37,56,17,0,188,51,10055
903786,1245,53,75,12,1,218,68,4623
903794,2200,31,2,11,0,199,69,7477
903806,600,37,37,12,1,151,58,7561
903817,800,20,2,14,1,199,39,9686
903820,2150,28,2,14,0,188,24,8602
903821,2330,25,2,14,0,88,43,9381
903822,1020,61,2,19,1,199,68,9839
903832,2130,23,56,0,0,188,58,373
903833,1600,42,37,11,0,151,58,3761
903837,20,20,2,1,1,151,28,8111
903839,1545,46,37,1,0,165,58,6731
903840,1430,16,58,9,0,189,58,784
903842,530,27,37,3,0,189,58,1103
903845,1210,24,56,15,0,151,58,5230
903848,1600,17,18,9,0,189,58,7410
903857,2240,48,2,16,1,199,21,3837
903866,400,21,56,13,1,199,53,10037
903878,855,47,23,16,1,212,70,6975
903881,1345,34,2,9,1,199,68,3171
903886,1805,25,75,15,0,188,58,8767
903887,2100,21,4,17,1,164,58,2217
903889,1640,41,4,8,0,136,58,6234
903890,615,35,4,9,1,87,58,5167
903897,1930,21,2,4,0,189,58,2730
903898,2000,46,2,15,1,98,32,4974
903904,2130,20,2,4,1,182,28,6722
903905,720,43,67,12,0,188,68,40
903913,1650,30,56,12,0,188,24,11
903918,1300,53,4,2,1,188,58,686
903921,1120,34,72,12,0,218,68,5926
903932,2125,31,4,4,1,165,58,3315
903938,1535,26,2,0,1,199,44,7143
903941,600,69,14,18,0,199,68,4597
903947,2000,77,13,17,1,189,58,7555
903959,750,59,10,14,0,164,60,2043
903963,1040,65,2,15,1,199,29,2796
903966,30,44,23,14,1,199,70,7404
903971,2245,26,22,15,1,165,51,385
903999,205,36,4,19,1,151,58,2798
904005,2258,22,4,11,0,151,6,5378
904019,2026,33,56,20,0,151,58,1326
904024,1600,38,4,0,0,217,58,7638
904029,1120,2,4,15,1,199,58,5560
904047,1430,72,4,7,1,165,58,10022
904052,1150,28,56,0,1,31,70,6526
904077,1800,68,4,7,1,165,58,2285
904095,1115,20,4,14,0,189,58,613
904096,110,42,4,0,0,90,58,3942
904109,317,37,36,15,0,189,33,6846
904110,1820,36,16,18,0,189,68,3150
904114,2146,47,72,12,1,218,68,6634
904121,1120,50,4,1,0,131,58,6720
904130,300,70,67,16,1,199,67,7329
904131,2235,21,4,20,0,182,68,8385
904147,1300,32,4,13,0,165,68,8083
904151,800,44,37,19,0,217,58,3484
904153,1700,31,37,9,0,48,58,3688
904156,100,26,56,14,0,199,58,654
904161,1715,29,37,12,0,189,68,6528
904167,2020,49,4,7,0,165,58,7978
904168,1520,46,2,17,0,199,24,10039
904173,1700,56,4,1,1,92,58,4777
904183,1855,33,4,6,0,188,58,6553
904190,1219,41,2,7,1,199,24,9738
904197,1415,13,4,6,1,188,58,6356
904205,2155,52,37,16,1,164,58,9999
904221,2030,22,14,12,1,199,68,7895
904224,1335,58,4,19,1,60,58,3455
904226,2100,39,2,9,1,199,58,7411
904227,340,57,14,6,1,188,68,4787
904232,1430,40,7,15,0,151,58,4504
904233,904,27,23,12,1,174,70,1475
904234,730,18,37,3,0,199,58,588
904235,220,18,56,14,0,199,58,9067
904242,1600,36,42,6,0,151,58,7654
904254,330,31,75,12,0,218,68,5283
904256,1600,65,4,1,0,199,58,7990
904259,1610,56,56,3,0,165,58,1917
904268,2015,38,4,11,1,165,58,10116
904285,1000,36,10,8,0,199,28,6128
904287,240,53,2,15,1,188,58,5239
904289,45,37,4,0,1,151,58,7636
904293,1900,45,4,16,0,151,58,7222
904301,30,29,4,8,0,199,58,985
904302,2000,42,37,16,0,189,58,8367
904304,1230,47,2,14,1,189,8,42
904311,2345,26,2,7,1,199,14,9739
904312,2300,64,4,15,1,151,58,6119
904340,1830,44,67,13,0,223,68,9719
904353,2341,35,61,0,1,189,24,74
904364,1015,13,18,0,1,73,58,7596
904373,35,56,10,16,1,189,28,4227
904386,1750,20,2,0,1,151,24,8156
904388,30,39,56,0,1,199,58,7349
904392,1345,36,23,14,1,165,70,93
904409,2010,26,80,6,0,151,68,2724
904416,1145,36,56,16,1,165,24,4234
904422,2200,32,56,3,1,189,58,1580
904424,2315,44,3,12,1,188,58,2367
904452,1555,58,13,16,1,189,68,5845
904454,1500,28,56,0,0,21,58,3019
904463,200,30,4,6,0,154,58,6991
904465,1435,3,4,8,1,79,58,7176
904483,2330,26,4,15,0,151,58,5540
904491,1400,32,2,1,1,199,58,7352
904493,424,37,14,0,1,223,68,7641
904496,500,33,36,14,0,189,58,6664
904501,2015,60,4,0,1,149,58,10117
904503,1115,33,56,7,1,165,28,1568
904508,700,29,37,14,0,151,58,1037
904535,600,21,4,6,0,149,58,9975
904544,200,36,4,6,1,154,58,7142
904551,830,15,4,11,1,188,58,4594
904554,905,56,4,19,0,160,58,6398
904562,1630,32,37,4,0,189,68,34
904573,710,33,2,16,0,3,69,9856
904574,1830,57,4,3,1,151,58,1137
904576,2320,35,61,15,0,199,24,2987
904579,1700,38,2,9,1,48,37,2022
904581,1200,14,42,8,0,151,58,7242
904583,1900,48,4,0,0,189,58,7518
904584,1945,19,4,5,0,160,58,4333
904586,1821,69,80,8,1,48,45,528
904587,1545,24,4,0,0,165,58,3228
904589,2030,21,2,3,0,164,8,8526
904593,1550,35,56,20,1,188,24,7443
904606,1800,28,4,0,0,151,58,6894
904608,2000,42,4,15,1,199,58,9380
904629,1600,38,10,14,1,199,24,9112
904639,15,37,37,3,0,189,58,1825
904642,1202,36,9,20,0,73,70,8080
904644,940,63,56,2,1,60,37,2598
904645,1310,14,4,16,1,67,58,4242
904650,1700,36,23,8,0,188,70,10059
904651,2128,42,37,0,0,151,58,6798
904657,1915,40,56,9,1,199,24,7349
904663,1940,31,2,1,1,199,24,3345
904667,2230,39,37,6,1,151,58,1309
904695,1500,45,67,16,1,199,67,9546
904697,1400,78,4,2,0,151,68,433
904698,910,23,43,13,1,165,58,9088
904699,1500,52,4,4,0,189,58,4366
904701,300,38,4,9,0,199,58,9657
904709,1600,23,36,14,0,189,58,7431
904718,2245,34,43,15,0,189,68,5565
904725,1600,24,2,14,1,199,37,515
904728,2130,36,14,12,0,199,68,8845
904730,915,57,4,19,0,151,58,3442
904739,1815,59,56,1,1,188,58,6742
904748,1050,27,2,11,0,199,69,8605
904750,1325,18,10,14,0,189,66,2400
904771,945,28,4,4,0,159,58,3540
904772,1930,15,4,7,1,182,58,7973
904773,1030,17,2,14,1,199,51,6807
904776,2250,41,37,6,0,165,58,6445
904777,1735,14,22,5,1,199,24,3520
904782,20,34,2,9,1,188,58,4247
904788,1700,65,4,9,0,189,58,191
904791,1030,36,2,9,1,3,51,788
904793,1900,57,23,19,1,202,70,3120
904802,1600,10,44,12,0,158,68,8831
904804,1130,33,14,6,1,182,68,10058
904813,1850,40,72,12,0,218,68,4623
904816,1020,28,4,12,1,164,58,1635
904818,1000,33,80,13,1,189,68,1640
904820,400,37,37,20,0,189,68,5961
904824,515,52,4,1,1,74,58,8065
904828,4,36,2,8,1,189,24,6383
904830,1245,45,4,8,1,199,58,9355
904833,2141,48,2,12,1,188,32,9042
904834,2200,35,37,19,1,151,58,6237
904848,1600,11,3,5,1,188,58,9287
904849,1455,45,74,9,0,149,58,10046
904852,2330,30,52,5,0,226,58,4699
904862,1145,45,37,19,1,165,58,2818
904887,300,29,2,18,1,188,58,4344
904894,1600,32,56,11,0,166,24,6727
904896,1230,34,37,7,1,151,58,2537
904897,1330,40,4,11,1,165,58,4589
904914,1320,78,56,19,0,165,58,6354
904917,2345,33,23,6,1,199,70,9685
904922,2000,39,37,17,1,151,58,1906
904923,1558,30,72,12,1,218,68,5926
904927,30,27,43,1,1,188,58,9070
904933,2000,48,37,3,0,189,58,1151
904937,200,17,19,12,1,199,58,6938
904944,2000,40,10,16,0,151,24,4097
904953,1200,10,20,19,0,151,58,3065
904954,200,40,37,14,0,189,58,9898
904957,1445,37,37,15,1,189,58,3788
904958,2040,61,56,19,0,42,68,3053
904961,1630,68,2,14,1,165,37,428
904970,1730,29,4,1,0,188,68,8605
904984,836,52,4,19,1,199,58,3460
904986,200,31,2,13,0,188,58,9158
904988,2230,19,4,18,1,199,68,10139
904990,400,44,67,12,1,218,68,6923
905004,205,36,2,19,1,151,8,2798
905011,2015,47,4,7,0,165,58,1973
905022,320,53,22,14,1,199,51,8602
905024,1300,17,2,0,0,189,68,6655
905040,2207,33,4,20,0,158,58,6167
905043,2300,27,4,6,1,149,58,9906
905047,1400,27,37,14,1,189,58,8642
905054,2000,25,2,6,1,199,58,9685
905059,230,41,37,17,0,182,58,2240
905065,1905,24,4,9,1,149,58,9415
905067,210,49,13,15,1,189,68,4338
905072,1150,29,4,15,0,180,58,5006
905074,1356,30,37,4,0,151,58,5907
905077,2300,41,13,9,0,182,68,5933
905098,1520,27,83,13,1,199,66,7990
905105,1130,36,80,1,0,223,68,7478
905107,1815,55,16,18,1,189,68,4500
905108,1340,28,2,1,1,188,68,3641
905109,1310,33,4,1,1,85,58,8065
905111,1857,45,75,12,1,218,68,4623
905112,900,68,37,15,1,189,58,5512
905115,45,39,2,9,1,165,66,9081
905127,1420,34,37,10,0,151,58,20
905129,2130,64,75,12,1,218,68,4623
905132,1745,23,2,14,1,199,24,8511
905133,2045,60,13,12,1,218,68,6865
905135,420,50,2,4,1,199,24,2642
905142,2300,31,37,15,1,199,58,5896
905143,15,30,14,6,0,165,68,7110
905155,915,21,4,15,1,199,70,354
905161,1100,49,37,4,0,71,58,3457
905170,1220,42,37,1,0,151,68,4644
905171,1430,73,75,10,0,189,58,800
905172,2355,27,56,15,1,199,24,5626
905176,600,28,37,7,0,151,58,8806
905182,2020,37,37,7,1,165,58,10047
905188,1115,64,4,13,0,151,58,1257
905197,2030,41,56,4,1,199,58,8007
905221,1800,50,42,18,0,189,58,910
905230,1100,62,2,15,1,151,23,5481
905235,2025,19,2,14,1,199,51,1133
905247,30,47,37,19,0,151,58,2623
905248,2330,28,4,0,0,151,58,6542
905255,500,30,37,4,0,151,58,2645
905257,1645,28,2,3,1,199,24,9958
905266,1600,47,10,0,0,189,70,205
905272,443,28,23,9,0,48,70,2698
905274,220,29,37,4,0,71,58,9466
905303,2300,23,22,11,1,151,27,6736
905305,1415,32,4,15,0,199,58,6262
905306,1825,61,2,14,1,188,28,1097
905307,330,42,14,9,1,227,68,4642
905312,500,48,52,5,0,189,58,7465
905320,2030,34,37,3,0,199,58,9958
905328,1100,33,7,3,0,189,58,9028
905329,1300,43,23,15,0,71,70,4852
905333,2100,25,2,15,1,199,24,9573
905344,2140,22,2,10,1,199,68,9119
905351,1000,41,37,8,0,199,58,10127
905365,30,38,2,9,1,71,56,8044
905366,650,31,4,1,1,188,68,6041
905374,1414,29,10,2,1,12,37,3840
905381,640,41,2,20,0,199,24,316
905385,30,39,37,16,1,189,58,3799
905393,900,23,4,6,1,133,58,7274
905404,2320,27,56,9,1,199,58,6941
905416,40,24,2,8,1,199,32,9595
905418,2010,64,56,3,1,189,39,1489
905444,2230,35,36,15,0,189,27,2659
905447,1825,32,2,13,1,199,58,2360
905457,1815,51,23,19,1,158,70,6354
905462,2100,50,4,17,0,63,68,2587
905466,2311,15,2,5,1,199,66,9166
905468,1600,32,56,4,1,165,28,1780
905474,2215,40,2,17,1,199,69,6921
905480,600,36,4,1,0,151,58,5386
905487,2000,22,10,2,1,199,14,3873
905489,1610,24,36,16,0,151,58,6973
905501,830,58,28,15,1,189,70,4513
905505,1430,56,2,10,1,199,24,9851
905510,1600,61,37,18,1,189,58,3766
905514,1940,25,2,6,1,199,29,2967
905518,1832,51,23,19,0,151,70,7122
905523,2130,20,4,14,0,219,58,9654
905524,1300,41,56,13,1,21,58,7352
905536,1015,46,10,13,1,199,39,9862
905549,1740,25,4,16,0,158,58,7065
905558,1,61,2,9,1,188,58,7990
905561,340,20,36,16,0,165,58,3806
905562,730,28,4,15,0,151,58,6119
905566,1230,39,23,0,1,199,68,6339
905571,2240,37,2,14,1,199,37,9652
905572,1227,15,2,9,1,67,58,3368
905577,1350,27,23,6,0,189,70,6200
905593,700,32,13,13,0,151,68,1627
905594,100,20,2,17,0,151,51,7769
905601,1430,43,2,8,1,188,21,10026
905608,1130,29,23,18,0,151,70,1213
905618,1500,65,56,3,0,3,58,9845
905620,1750,35,44,12,1,218,68,40
905621,2245,40,14,6,0,165,68,2018
905628,2130,29,2,14,1,188,68,1450
905636,100,22,4,15,1,151,58,5648
905641,1000,31,7,2,1,158,58,3239
905645,750,26,37,14,0,3,58,8841
905655,100,9,2,15,1,151,27,5020
905657,1830,8,19,14,0,75,58,8875
905684,1730,38,13,12,1,59,68,5563
905689,2300,19,37,8,0,151,58,6199
905691,2230,27,23,15,0,189,70,8151
905702,705,47,4,9,0,199,58,9899
905706,1140,29,56,10,0,199,24,4698
905708,2100,17,22,7,1,188,51,8336
905710,2315,34,37,8,0,189,58,1564
905715,1245,40,56,9,0,189,58,6650
905720,740,11,10,9,1,199,28,6653
905726,1420,30,4,15,0,151,58,6102
905730,2020,30,10,6,1,158,70,6369
905747,2200,34,23,13,1,151,70,4090
905751,2137,46,37,5,0,151,58,8699
905756,1405,19,10,4,1,182,66,309
905757,1905,35,2,15,0,189,28,5768
905760,2240,41,75,12,0,218,68,5926
905762,1030,35,7,19,0,45,58,2870
905766,918,31,75,12,1,218,68,4623
905768,1630,43,4,16,0,182,58,3881
905771,128,47,4,18,1,71,58,2386
905775,1100,33,2,3,1,189,68,1539
905776,1230,53,4,3,0,165,58,9290
905781,2100,27,56,15,1,199,24,10117
905785,2000,15,18,10,0,189,58,3740
905792,847,63,38,0,0,223,49,6481
905796,2230,49,10,4,1,189,33,8085
905810,45,25,2,17,1,86,68,9491
905821,850,20,4,15,1,199,58,7512
905824,1100,43,4,11,1,48,58,3396
905849,1055,58,56,17,1,210,58,7675
905850,2330,35,2,17,1,165,28,7718
905862,1600,22,52,0,0,189,58,5320
905866,1610,40,2,14,0,188,53,3577
905869,1520,16,4,18,0,159,58,4881
905870,1205,35,72,12,1,218,68,40
905881,2130,29,23,20,1,160,70,5710
905885,1208,43,80,6,1,59,68,7274
905888,2000,38,4,7,0,189,58,2223
905889,1200,60,37,8,1,156,58,1899
905895,2125,25,9,12,0,218,68,40
905896,1550,16,56,10,1,199,58,2384
905906,1900,61,37,17,0,188,58,10023
905909,630,45,4,20,0,189,68,6118
905916,30,45,4,3,1,14,58,8370
905921,1700,70,81,15,0,189,68,2476
905923,1940,61,37,0,1,189,58,8760
905927,430,51,37,16,1,151,58,8495
905929,1535,23,56,15,0,188,24,4486
905937,1330,23,4,8,0,151,58,6386
905944,1955,60,10,19,1,158,37,2623
905951,1815,22,23,15,0,189,70,2763
905953,1830,81,2,19,1,189,58,7964
905966,1340,27,72,12,1,218,68,5926
905972,1100,61,2,19,0,164,70,3081
905973,1410,18,10,1,1,199,23,9542
905975,1915,68,4,15,1,151,68,4810
905983,2340,29,37,11,0,151,58,5950
905984,815,60,37,12,0,199,58,9654
905995,800,37,72,12,1,218,68,6634
905996,2130,22,4,12,1,159,58,6416
906006,1505,32,2,0,1,75,68,7942
906015,830,60,2,0,1,189,37,211
906016,2130,41,4,16,0,189,58,3847
906019,240,54,82,15,0,199,50,10108
906020,1830,30,2,8,0,199,14,7840
906021,800,19,52,6,0,160,58,1309
906028,1,12,4,14,0,73,58,2691
906030,2140,65,4,19,1,151,58,2798
906032,900,43,4,14,1,158,58,9112
906035,2120,62,4,15,1,182,58,4491
906051,1830,32,4,17,0,77,58,7818
906053,1700,37,2,18,1,199,24,4846
906060,1900,21,4,18,1,165,58,9189
906062,1500,44,13,12,1,189,45,4595
906071,1600,32,4,0,0,189,58,8380
906074,1245,51,3,7,1,199,24,9743
906093,2130,42,23,14,1,199,70,660
906107,1700,11,18,4,0,189,58,9413
906118,600,57,4,20,1,32,58,3610
906120,1307,41,2,8,1,199,68,9122
906127,1340,50,4,14,1,188,58,9112
906143,1915,27,4,11,0,151,58,5745
906151,800,21,36,0,0,199,58,6168
906152,1030,66,4,6,0,164,68,746
906160,1647,62,4,13,0,151,45,5394
906164,400,24,2,15,1,199,60,10116
906174,1150,69,4,4,0,165,58,309
906178,1715,43,10,11,1,151,33,3400
906182,2200,18,56,17,1,188,28,9491
906188,1030,18,4,4,0,67,58,2059
906199,30,37,14,20,1,199,68,2378
906204,1245,55,2,4,1,165,66,1396
906206,2100,37,2,0,1,189,49,5421
906214,1200,35,23,14,0,164,70,2043
906216,1635,31,2,4,1,35,39,1684
906220,1609,24,23,1,0,151,70,5918
906225,1230,16,37,14,0,189,58,568
906229,2225,21,10,6,1,158,37,6212
906244,1935,42,4,6,0,59,58,7568
906248,1430,52,23,2,0,165,70,3486
906252,330,22,37,8,0,199,58,9601
906261,2200,36,7,19,0,223,58,9356
906280,1100,36,37,14,0,188,58,962
906284,1100,42,23,5,0,158,70,4519
906286,915,44,77,8,1,199,68,9133
906306,1755,25,56,6,0,188,58,7318
906307,1330,28,79,6,0,189,38,7177
906308,1745,40,56,8,0,139,58,5178
906311,800,29,10,15,0,189,58,5539
906312,100,54,56,11,1,188,68,7352
906319,2326,38,14,9,0,199,68,9674
906323,1959,37,37,19,1,199,58,10039
906332,2135,25,14,15,0,165,68,4927
906343,1725,51,2,0,1,188,28,8380
906349,1300,41,52,11,0,151,27,1339
906351,1900,36,2,7,0,188,22,9930
906354,2100,57,23,4,0,151,70,3760
906355,2100,33,4,15,0,189,58,4377
906367,1630,18,36,0,0,199,28,6574
906371,830,61,56,0,1,199,58,6321
906379,1030,24,56,14,1,165,58,6070
906385,1920,31,37,11,0,199,58,6707
906386,1005,44,77,6,1,199,15,9191
906391,1100,55,13,20,1,189,56,4679
906395,1600,24,2,8,1,136,27,6234
906406,1726,14,23,14,1,189,70,7503
906419,1800,30,4,11,0,199,58,5144
906422,1945,29,75,12,0,218,68,5926
906425,1630,50,4,9,0,199,58,4544
906427,510,47,10,12,0,21,37,9219
906429,140,21,4,6,1,158,58,7106
906432,220,46,4,4,1,165,58,124
906446,1800,16,52,8,0,159,68,7676
906447,2000,49,4,14,1,189,58,534
906448,1613,33,23,17,1,48,70,2179
906450,830,37,56,5,1,199,58,101
906451,1040,30,2,18,1,158,28,9030
906452,500,39,52,6,0,151,58,1705
906455,1720,43,2,1,1,188,68,7350
906458,445,30,2,15,0,188,58,9540
906461,1745,48,23,14,0,199,70,2413
